,Character ID,spells
0,4,[]
1,4,[]
2,4,[]
3,4,[]
4,4,[]
5,4,[]
6,4,[]
7,4,[]
8,4,[]
9,4,[]
10,4,[]
11,4,[]
12,4,[]
13,4,[]
14,4,[]
15,4,[]
16,4,[]
17,4,[]
18,4,[]
19,4,[]
20,4,[]
21,4,[]
22,4,[]
23,4,[]
24,7,[]
25,7,[]
26,7,[]
27,7,[]
28,7,[]
29,7,[]
30,7,[]
31,7,[]
32,7,[]
33,7,[]
34,7,[]
35,7,[]
36,7,[]
37,7,[]
38,7,[]
39,7,[]
40,7,[]
41,7,[]
42,7,[]
43,7,[]
44,7,[]
45,7,[]
46,7,[]
47,7,[]
48,7,[]
49,7,[]
50,7,[]
51,7,[]
52,7,[]
53,7,[]
54,7,[]
55,5,[]
56,5,[]
57,5,[]
58,5,[]
59,5,[]
60,5,[]
61,5,[]
62,5,[]
63,5,[]
64,5,[]
65,5,[]
66,5,[]
67,5,[]
68,5,[]
69,5,[]
70,5,[]
71,5,[]
72,5,[]
73,5,[]
74,5,[]
75,5,[]
76,5,[]
77,5,[]
78,5,[]
79,5,[]
80,5,[]
81,5,[]
82,5,[]
83,5,[]
84,5,[]
85,5,[]
86,5,[]
87,5,[]
88,5,[]
89,5,[]
90,5,[]
91,5,[]
92,5,[]
93,5,[]
94,5,[]
95,5,[]
96,5,[]
97,5,[]
98,5,[]
99,5,[]
100,5,[]
101,5,[]
102,5,[]
103,5,[]
104,5,[]
105,5,[]
106,5,[]
107,5,[]
108,5,[]
109,5,[]
110,5,[]
111,5,[]
112,5,[]
113,5,[]
114,5,[]
115,5,[]
116,5,[]
117,5,[]
118,5,[]
119,5,[]
120,5,[]
121,5,[]
122,5,[]
123,5,[]
124,5,[]
125,5,[]
126,5,[]
127,5,[]
128,5,[]
129,5,[]
130,5,[]
131,5,[]
132,5,[]
133,5,[]
134,5,[]
135,5,[]
136,5,[]
137,5,[]
138,5,[]
139,5,[]
140,5,[]
141,32,[]
142,32,[]
143,32,[]
144,32,[]
145,32,[]
146,32,[]
147,32,[]
148,32,[]
149,32,[]
150,32,[]
151,32,[]
152,32,[]
153,32,[]
154,32,[]
155,32,[]
156,32,[]
157,32,[]
158,31,[]
159,31,[]
160,31,[]
161,31,[]
162,31,[]
163,31,[]
164,31,[]
165,31,[]
166,31,[]
167,31,[]
168,31,[]
169,31,[]
170,31,[]
171,31,[]
172,31,[]
173,31,[]
174,31,[]
175,21,[]
176,21,[]
177,21,[]
178,21,[]
179,21,[]
180,21,[]
181,21,[]
182,21,[]
183,21,[]
184,21,[]
185,21,[]
186,21,[]
187,21,[]
188,21,[]
189,21,[]
190,21,[]
191,21,[]
192,21,[]
193,21,[]
194,21,[]
195,21,[]
196,21,[]
197,21,[]
198,21,[]
199,21,[]
200,1,[]
201,1,[]
202,1,[]
203,1,[]
204,1,[]
205,1,[]
206,1,[]
207,1,[]
208,1,[]
209,1,[]
210,1,[]
211,1,[]
212,1,[]
213,1,[]
214,1,[]
215,1,[]
216,1,[]
217,1,[]
218,1,[]
219,1,[]
220,1,[]
221,1,[]
222,1,[]
223,1,[]
224,1,[]
225,1,[]
226,1,[]
227,1,[]
228,1,[]
229,1,[]
230,1,[]
231,1,[]
232,1,[]
233,1,[]
234,1,[]
235,1,[]
236,1,[]
237,1,[]
238,1,[]
239,1,[]
240,1,[]
241,1,[]
242,1,[]
243,1,[]
244,1,[]
245,1,[]
246,1,[]
247,1,[]
248,1,[]
249,1,[]
250,1,[]
251,1,[]
252,1,[]
253,1,[]
254,1,[]
255,1,[]
256,1,[]
257,1,[]
258,1,[]
259,1,[]
260,1,[]
261,1,[]
262,1,[]
263,1,[]
264,1,[]
265,1,[]
266,1,[]
267,1,[]
268,1,[]
269,1,[]
270,1,[]
271,1,[]
272,1,[]
273,1,[]
274,1,[]
275,1,[]
276,1,[]
277,1,[]
278,1,[]
279,1,[]
280,1,[]
281,1,[]
282,1,[]
283,1,[]
284,1,[]
285,1,[]
286,1,[]
287,1,[]
288,1,[]
289,1,[]
290,1,[]
291,1,[]
292,1,[]
293,1,[]
294,1,[]
295,1,[]
296,1,[]
297,1,[]
298,1,[]
299,1,[]
300,1,[]
301,1,[]
302,1,[]
303,1,[]
304,1,[]
305,1,[]
306,1,[]
307,1,[]
308,1,[]
309,1,[]
310,1,[]
311,1,[]
312,1,[]
313,1,[]
314,1,[]
315,1,[]
316,1,[]
317,1,[]
318,1,[]
319,1,[]
320,1,[]
321,1,[]
322,1,[]
323,1,[]
324,1,[]
325,1,[]
326,1,[]
327,1,[]
328,1,[]
329,1,[]
330,1,[]
331,1,[]
332,1,[]
333,1,[]
334,1,[]
335,1,[]
336,1,[]
337,1,[]
338,1,[]
339,1,[]
340,1,[]
341,1,[]
342,1,[]
343,1,[]
344,1,[]
345,1,[]
346,1,[]
347,1,[]
348,1,[]
349,1,[]
350,1,[]
351,1,[]
352,1,[]
353,1,[]
354,1,[]
355,1,[]
356,1,[]
357,1,[]
358,1,[]
359,1,[]
360,1,[]
361,1,[]
362,1,[]
363,1,[]
364,1,[]
365,1,[]
366,1,[]
367,1,[]
368,1,[]
369,1,[]
370,1,[]
371,1,[]
372,1,[]
373,1,[]
374,1,[]
375,1,[]
376,1,[]
377,1,[]
378,1,[]
379,1,[]
380,1,[]
381,1,[]
382,1,[]
383,1,[]
384,1,[]
385,1,[]
386,1,[]
387,1,[]
388,1,[]
389,1,[]
390,1,[]
391,1,[]
392,1,[]
393,1,[]
394,1,[]
395,1,[]
396,1,[]
397,1,[]
398,1,[]
399,1,[]
400,1,[]
401,1,[]
402,1,[]
403,1,[]
404,1,[]
405,1,[]
406,1,[]
407,1,[]
408,1,[]
409,1,[]
410,1,[]
411,1,[]
412,1,[]
413,1,[]
414,1,[]
415,1,[]
416,1,[]
417,1,[]
418,1,[]
419,1,[]
420,1,[]
421,1,[]
422,1,[]
423,1,[]
424,1,[]
425,1,[]
426,1,[]
427,1,[]
428,1,[]
429,1,[]
430,1,[]
431,1,[]
432,1,[]
433,1,[]
434,1,[]
435,1,[]
436,1,[]
437,1,[]
438,1,[]
439,1,[]
440,1,[]
441,1,[]
442,161,[]
443,139,[]
444,139,[]
445,139,[]
446,139,[]
447,92,[]
448,92,[]
449,132,[]
450,41,[]
451,41,[]
452,41,[]
453,41,[]
454,41,[]
455,41,[]
456,41,[]
457,41,[]
458,41,[]
459,41,[]
460,41,[]
461,41,[]
462,41,[]
463,41,[]
464,41,[]
465,41,[]
466,41,[]
467,138,[]
468,138,[]
469,138,[]
470,138,[]
471,138,[]
472,130,[]
473,130,[]
474,30,[]
475,30,[]
476,30,[]
477,43,[]
478,43,[]
479,43,[]
480,149,[]
481,149,[]
482,26,[]
483,26,[]
484,26,[]
485,26,[]
486,26,[]
487,19,[]
488,19,[]
489,19,[]
490,19,[]
491,19,[]
492,14,[]
493,14,[]
494,14,[]
495,14,[]
496,14,[]
497,20,[]
498,2,[]
499,2,[]
500,2,[]
501,2,[]
502,2,[]
503,2,[]
504,2,[]
505,2,[]
506,2,[]
507,2,[]
508,2,[]
509,2,[]
510,2,[]
511,2,[]
512,2,[]
513,2,[]
514,2,[]
515,2,[]
516,2,[]
517,2,[]
518,2,[]
519,2,[]
520,2,[]
521,2,[]
522,2,[]
523,2,[]
524,2,[]
525,2,[]
526,2,[]
527,2,[]
528,2,[]
529,2,[]
530,2,[]
531,2,[]
532,2,[]
533,2,[]
534,2,[]
535,2,[]
536,2,[]
537,2,[]
538,2,[]
539,2,[]
540,2,[]
541,2,[]
542,2,[]
543,2,[]
544,2,[]
545,2,[]
546,2,[]
547,2,[]
548,2,[]
549,2,[]
550,2,[]
551,2,[]
552,2,[]
553,2,[]
554,2,[]
555,2,[]
556,2,[]
557,2,[]
558,2,[]
559,2,[]
560,2,[]
561,2,[]
562,2,[]
563,2,[]
564,2,[]
565,2,[]
566,2,[]
567,2,[]
568,2,[]
569,2,[]
570,2,[]
571,2,[]
572,2,[]
573,2,[]
574,2,[]
575,2,[]
576,2,[]
577,2,[]
578,2,[]
579,2,[]
580,2,[]
581,2,[]
582,2,[]
583,2,[]
584,2,[]
585,2,[]
586,2,[]
587,2,[]
588,2,[]
589,2,[]
590,2,[]
591,2,[]
592,2,[]
593,2,[]
594,2,[]
595,2,[]
596,2,[]
597,2,[]
598,2,[]
599,2,[]
600,2,[]
601,2,[]
602,2,[]
603,2,[]
604,2,[]
605,2,[]
606,2,[]
607,2,[]
608,2,[]
609,2,[]
610,2,[]
611,2,[]
612,2,[]
613,2,[]
614,2,[]
615,2,[]
616,2,[]
617,2,[]
618,2,[]
619,2,[]
620,2,[]
621,2,[]
622,2,[]
623,2,[]
624,2,[]
625,2,[]
626,2,[]
627,2,[]
628,2,[]
629,2,[]
630,2,[]
631,2,[]
632,2,[]
633,2,[]
634,2,[]
635,2,[]
636,2,[]
637,2,[]
638,2,[]
639,2,[]
640,140,[]
641,3,[]
642,3,[]
643,3,[]
644,3,[]
645,3,[]
646,3,[]
647,3,[]
648,3,[]
649,3,[]
650,3,[]
651,3,[]
652,3,[]
653,3,[]
654,3,[]
655,3,[]
656,3,[]
657,3,[]
658,3,[]
659,3,[]
660,3,[]
661,3,[]
662,3,[]
663,3,[]
664,3,[]
665,3,[]
666,3,[]
667,3,[]
668,3,[]
669,3,[]
670,3,[]
671,3,[]
672,3,[]
673,3,[]
674,3,[]
675,3,[]
676,3,[]
677,3,[]
678,3,[]
679,3,[]
680,3,[]
681,3,[]
682,3,[]
683,3,[]
684,3,[]
685,3,[]
686,3,[]
687,3,[]
688,3,[]
689,3,[]
690,3,[]
691,3,[]
692,3,[]
693,3,[]
694,3,[]
695,3,[]
696,3,[]
697,3,[]
698,3,[]
699,3,[]
700,3,[]
701,3,[]
702,3,[]
703,3,[]
704,3,[]
705,3,[]
706,3,[]
707,3,[]
708,3,[]
709,3,[]
710,3,[]
711,3,[]
712,3,[]
713,3,[]
714,3,[]
715,3,[]
716,3,[]
717,3,[]
718,3,[]
719,3,[]
720,3,[]
721,3,[]
722,3,[]
723,3,[]
724,3,[]
725,3,[]
726,3,[]
727,3,[]
728,3,[]
729,3,[]
730,3,[]
731,3,[]
732,3,[]
733,3,[]
734,3,[]
735,3,[]
736,3,[]
737,3,[]
738,10,[]
739,10,[]
740,10,[]
741,10,[]
742,10,[]
743,10,[]
744,10,[]
745,10,[]
746,10,[]
747,10,[]
748,10,[]
749,10,[]
750,10,[]
751,10,[]
752,10,[]
753,10,[]
754,10,[]
755,10,[]
756,12,[]
757,12,[]
758,12,[]
759,12,[]
760,12,[]
761,12,[]
762,12,[]
763,12,[]
764,12,[]
765,12,[]
766,12,[]
767,12,[]
768,12,[]
769,128,[]
770,128,[]
771,128,[]
772,128,[]
773,128,[]
774,128,[]
775,128,[]
776,29,[]
777,29,[]
778,29,[]
779,29,[]
780,29,[]
781,29,[]
782,29,[]
783,29,[]
784,37,[]
785,37,[]
786,37,[]
787,37,[]
788,37,[]
789,37,[]
790,37,[]
791,37,[]
792,37,[]
793,47,[]
794,47,[]
795,47,[]
796,47,[]
797,47,[]
798,117,[]
799,134,[]
800,134,[]
801,134,[]
802,134,[]
803,134,[]
804,134,[]
805,134,[]
806,150,[]
807,141,[]
808,6,[]
809,6,[]
810,6,[]
811,6,[]
812,6,[]
813,6,[]
814,6,[]
815,6,[]
816,6,[]
817,6,[]
818,50,[]
819,50,[]
820,50,[]
821,50,[]
822,50,[]
823,50,[]
824,50,[]
825,50,[]
826,50,[]
827,50,[]
828,50,[]
829,50,[]
830,50,[]
831,154,[]
832,154,[]
833,127,[]
834,163,[]
835,35,[]
836,35,[]
837,35,[]
838,35,[]
839,35,[]
840,35,[]
841,136,[]
842,136,[]
843,46,[]
844,46,[]
845,46,[]
846,46,[]
847,46,[]
848,46,[]
849,46,[]
850,46,[]
851,59,[]
852,59,[]
853,59,[]
854,59,[]
855,59,[]
856,52,[]
857,52,[]
858,52,[]
859,52,[]
860,52,[]
861,52,[]
862,52,[]
863,52,[]
864,52,[]
865,165,[]
866,82,[]
867,82,[]
868,164,[]
869,158,[]
870,87,[]
871,87,[]
872,87,[]
873,87,[]
874,87,[]
875,9,[]
876,9,[]
877,9,[]
878,9,[]
879,9,[]
880,9,[]
881,9,[]
882,9,[]
883,9,[]
884,9,[]
